iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MOZ,Africa,Mozambique,2020-03-22,1.0,1.0,,,,,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-23,1.0,0.0,,,,,0.032,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-24,3.0,2.0,,,,,0.096,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-25,5.0,2.0,,,,,0.16,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-26,7.0,2.0,,,,,0.224,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-27,7.0,0.0,1.0,,,0.0,0.224,0.0,0.032,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-28,8.0,1.0,1.143,,,0.0,0.256,0.032,0.037,,,0.0,,,,,,,,,,,205.0,0.007,,,,,,units unclear,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-29,8.0,0.0,1.0,,,0.0,0.256,0.0,0.032,,,0.0,,,,,,,,,,,,,,,,,,units unclear,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-30,8.0,0.0,1.0,,,0.0,0.256,0.0,0.032,,,0.0,,,,,,,,,,,233.0,0.007,,,,,,units unclear,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-03-31,8.0,0.0,0.714,,,0.0,0.256,0.0,0.023,,,0.0,,,,,,,,,,36.0,269.0,0.009,0.001,,,,,units unclear,,,,,,,,,,47.22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-01,10.0,2.0,0.714,,,0.0,0.32,0.064,0.023,,,0.0,,,,,,,,,,19.0,288.0,0.009,0.001,,,,,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-02,10.0,0.0,0.429,,,0.0,0.32,0.0,0.014,,,0.0,,,,,,,,,,18.0,306.0,0.01,0.001,,,,,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-03,10.0,0.0,0.429,,,0.0,0.32,0.0,0.014,,,0.0,,,,,,,,,,15.0,321.0,0.01,0.0,,,,,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-04,10.0,0.0,0.286,,,0.0,0.32,0.0,0.009,,,0.0,,,,,,,,,,24.0,345.0,0.011,0.001,20.0,0.001,0.014,69.9,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-05,10.0,0.0,0.286,,,0.0,0.32,0.0,0.009,,,0.0,,,,,,,,,,22.0,367.0,0.012,0.001,21.0,0.001,0.014,73.4,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-06,10.0,0.0,0.286,,,0.0,0.32,0.0,0.009,,,0.0,,,,,,,,,,4.0,371.0,0.012,0.0,20.0,0.001,0.014,69.9,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-07,10.0,0.0,0.286,,,0.0,0.32,0.0,0.009,,,0.0,,,,,,,,,,57.0,428.0,0.014,0.002,23.0,0.001,0.012,80.4,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-08,17.0,7.0,1.0,,,0.0,0.544,0.224,0.032,,,0.0,,,,,,,,,,43.0,471.0,0.015,0.001,26.0,0.001,0.038,26.0,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-09,17.0,0.0,1.0,,,0.0,0.544,0.0,0.032,,,0.0,,,,,,,,,,16.0,487.0,0.016,0.001,26.0,0.001,0.038,26.0,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-10,20.0,3.0,1.429,,,0.0,0.64,0.096,0.046,,,0.0,,,,,,,,,,54.0,541.0,0.017,0.002,31.0,0.001,0.046,21.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-11,20.0,0.0,1.429,,,0.0,0.64,0.0,0.046,,,0.0,,,,,,,,,,10.0,551.0,0.018,0.0,29.0,0.001,0.049,20.3,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-12,21.0,1.0,1.571,,,0.0,0.672,0.032,0.05,,,0.0,,,,,,,,,,128.0,679.0,0.022,0.004,45.0,0.001,0.035,28.6,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-13,21.0,0.0,1.571,,,0.0,0.672,0.0,0.05,,,0.0,,,,,,,,,,4.0,683.0,0.022,0.0,45.0,0.001,0.035,28.6,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-14,28.0,7.0,2.571,,,0.0,0.896,0.224,0.082,,,0.0,,,,,,,,,,79.0,762.0,0.024,0.003,48.0,0.002,0.054,18.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-15,29.0,1.0,1.714,,,0.0,0.928,0.032,0.055,,,0.0,,,,,,,,,,31.0,793.0,0.025,0.001,46.0,0.001,0.037,26.8,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-16,31.0,2.0,2.0,,,0.0,0.992,0.064,0.064,,,0.0,,,,,,,,,,62.0,855.0,0.027,0.002,53.0,0.002,0.038,26.5,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-17,34.0,3.0,2.0,,,0.0,1.088,0.096,0.064,,,0.0,,,,,,,,,,43.0,898.0,0.029,0.001,51.0,0.002,0.039,25.5,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-18,35.0,1.0,2.143,,,0.0,1.12,0.032,0.069,,,0.0,,,,,,,,,,54.0,952.0,0.03,0.002,57.0,0.002,0.038,26.6,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-19,39.0,4.0,2.571,,,0.0,1.248,0.128,0.082,,,0.0,,,,,,,,,,85.0,1037.0,0.033,0.003,51.0,0.002,0.05,19.8,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-20,39.0,0.0,2.571,,,0.0,1.248,0.0,0.082,,,0.0,,,,,,,,,,73.0,1110.0,0.036,0.002,61.0,0.002,0.042,23.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-21,39.0,0.0,1.571,,,0.0,1.248,0.0,0.05,,,0.0,,,,,,,,,,53.0,1163.0,0.037,0.002,57.0,0.002,0.028,36.3,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-22,41.0,2.0,1.714,,,0.0,1.312,0.064,0.055,,,0.0,,,,,,,,,,84.0,1247.0,0.04,0.003,65.0,0.002,0.026,37.9,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-23,46.0,5.0,2.143,,,0.0,1.472,0.16,0.069,,,0.0,,,,,,,,,,78.0,1325.0,0.042,0.002,67.0,0.002,0.032,31.3,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-24,65.0,19.0,4.429,,,0.0,2.08,0.608,0.142,,,0.0,,,,,,,,,,114.0,1439.0,0.046,0.004,77.0,0.002,0.058,17.4,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-25,70.0,5.0,5.0,,,0.0,2.24,0.16,0.16,,,0.0,,,,,,,,,,136.0,1575.0,0.05,0.004,89.0,0.003,0.056,17.8,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-26,76.0,6.0,5.286,,,0.0,2.432,0.192,0.169,,,0.0,,,,,,,,,,69.0,1644.0,0.053,0.002,87.0,0.003,0.061,16.5,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-27,76.0,0.0,5.286,,,0.0,2.432,0.0,0.169,,,0.0,,,,,,,,,,44.0,1688.0,0.054,0.001,83.0,0.003,0.064,15.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-28,76.0,0.0,5.286,,,0.0,2.432,0.0,0.169,,,0.0,,,,,,,,,,84.0,1772.0,0.057,0.003,87.0,0.003,0.061,16.5,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-29,76.0,0.0,5.0,,,0.0,2.432,0.0,0.16,,,0.0,,,,,,,,,,124.0,1896.0,0.061,0.004,93.0,0.003,0.054,18.6,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-04-30,76.0,0.0,4.286,,,0.0,2.432,0.0,0.137,,,0.0,,,,,,,,,,180.0,2076.0,0.066,0.006,107.0,0.003,0.04,25.0,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-01,79.0,3.0,2.0,,,0.0,2.528,0.096,0.064,,,0.0,,,,,,,,,,170.0,2246.0,0.072,0.005,115.0,0.004,0.017,57.5,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-02,79.0,0.0,1.286,,,0.0,2.528,0.0,0.041,,,0.0,,,,,,,,,,91.0,2337.0,0.075,0.003,109.0,0.003,0.012,84.8,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-03,80.0,1.0,0.571,,,0.0,2.56,0.032,0.018,,,0.0,,,,,,,,,,129.0,2466.0,0.079,0.004,117.0,0.004,0.005,204.9,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-04,80.0,0.0,0.571,,,0.0,2.56,0.0,0.018,,,0.0,,,,,,,,,,132.0,2598.0,0.083,0.004,130.0,0.004,0.004,227.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-05,81.0,1.0,0.714,,,0.0,2.592,0.032,0.023,,,0.0,,,,,,,,,,269.0,2867.0,0.092,0.009,156.0,0.005,0.005,218.5,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-06,81.0,0.0,0.714,,,0.0,2.592,0.0,0.023,,,0.0,,,,,,,,,,174.0,3041.0,0.097,0.006,164.0,0.005,0.004,229.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-07,81.0,0.0,0.714,,,0.0,2.592,0.0,0.023,,,0.0,,,,,,,,,,147.0,3188.0,0.102,0.005,159.0,0.005,0.004,222.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-08,82.0,1.0,0.429,,,0.0,2.624,0.032,0.014,,,0.0,,,,,,,,,,168.0,3356.0,0.107,0.005,159.0,0.005,0.003,370.6,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-09,87.0,5.0,1.143,,,0.0,2.784,0.16,0.037,,,0.0,,,,,,,,,,393.0,3749.0,0.12,0.013,202.0,0.006,0.006,176.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-10,91.0,4.0,1.571,,,0.0,2.911,0.128,0.05,,,0.0,,,,,,,,,,174.0,3923.0,0.126,0.006,208.0,0.007,0.008,132.4,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-11,103.0,12.0,3.286,,,0.0,3.295,0.384,0.105,,,0.0,,,,,,,,,,250.0,4173.0,0.134,0.008,225.0,0.007,0.015,68.5,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-12,104.0,1.0,3.286,,,0.0,3.327,0.032,0.105,,,0.0,0.81,,,,,,,,,192.0,4365.0,0.14,0.006,214.0,0.007,0.015,65.1,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-13,104.0,0.0,3.286,,,0.0,3.327,0.0,0.105,,,0.0,0.81,,,,,,,,,375.0,4740.0,0.152,0.012,243.0,0.008,0.014,74.0,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-14,115.0,11.0,4.857,,,0.0,3.679,0.352,0.155,,,0.0,0.83,,,,,,,,,379.0,5119.0,0.164,0.012,276.0,0.009,0.018,56.8,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-15,119.0,4.0,5.286,,,0.0,3.807,0.128,0.169,,,0.0,0.85,,,,,,,,,242.0,5361.0,0.172,0.008,286.0,0.009,0.018,54.1,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-16,129.0,10.0,6.0,,,0.0,4.127,0.32,0.192,,,0.0,0.86,,,,,,,,,374.0,5735.0,0.183,0.012,284.0,0.009,0.021,47.3,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-17,137.0,8.0,6.571,,,0.0,4.383,0.256,0.21,,,0.0,0.88,,,,,,,,,276.0,6011.0,0.192,0.009,298.0,0.01,0.022,45.4,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-18,145.0,8.0,6.0,,,0.0,4.639,0.256,0.192,,,0.0,0.9,,,,,,,,,261.0,6272.0,0.201,0.008,300.0,0.01,0.02,50.0,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-19,146.0,1.0,6.0,,,0.0,4.671,0.032,0.192,,,0.0,0.93,,,,,,,,,265.0,6537.0,0.209,0.008,310.0,0.01,0.019,51.7,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MOZ,Africa,Mozambique,2020-05-20,156.0,10.0,7.429,,,0.0,4.991,0.32,0.238,,,0.0,0.97,,,,,,,,,232.0,6769.0,0.217,0.007,290.0,0.009,0.026,39.0,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
